,θ,set,latitude,longitude
887,200.5,14,-13.50,143.12
888,194.5,14,-13.50,143.12
889,132.5,14,-13.50,143.12
890,185.5,14,-13.50,143.12
891,199.5,14,-13.50,143.12
892,172.5,14,-13.50,143.12
893,178.5,14,-13.50,143.12
894,178.5,14,-13.50,143.12
895,178.5,14,-13.50,143.12
896,189.5,14,-13.50,143.12
897,176.5,14,-13.50,143.12
898,173.5,14,-13.50,143.12
899,182.5,14,-13.50,143.12
900,184.5,14,-13.50,143.12
901,172.5,14,-13.50,143.12
902,199.5,14,-13.50,143.12
903,177.5,14,-13.50,143.12
904,174.5,14,-13.50,143.12
905,176.5,14,-13.50,143.12
906,181.5,14,-13.50,143.12
